Region,State,Area,CRSI,Governance,Risk,Built Environment,Society,Natural Environment
Region 1,Massachusetts,Plymouth,2.847,0.624,0.469,0.614,0.598,0.542
Region 1,Massachusetts,Suffolk,1.495,0.648,0.465,0.417,0.465,0.426
Region 1,Massachusetts,Worcester,2.596,0.646,0.55,0.804,0.604,0.359
Region 1,New Hampshire,New Hampshire,6.561,0.67,0.229,0.519,0.596,0.421
Region 1,New Hampshire,Belknap,4.773,0.656,0.151,0.35,0.621,0.385
Region 1,New Hampshire,Carroll,5.716,0.668,0.169,0.441,0.599,0.445
Region 1,New Hampshire,Cheshire,7.642,0.62,0.108,0.457,0.574,0.4
Region 1,New Hampshire,Coos,12.682,0.699,0.112,0.536,0.64,0.549
Region 1,New Hampshire,Grafton,11.672,0.638,0.129,0.785,0.571,0.468
Region 1,New Hampshire,Hillsborough,2.559,0.722,0.461,0.631,0.574,0.334
Region 1,New Hampshire,Merrimack,10.688,0.718,0.149,0.667,0.728,0.41
Region 1,New Hampshire,Rockingham,2.066,0.691,0.555,0.578,0.554,0.42
Region 1,New Hampshire,Strafford,1.916,0.626,0.338,0.38,0.505,0.419
Region 1,New Hampshire,Sullivan,5.9,0.665,0.12,0.363,0.594,0.379
Region 1,Rhode Island,Rhode Island,2.479,0.627,0.372,0.302,0.586,0.511
Region 1,Rhode Island,Bristol,1.015,0.522,0.385,0.11,0.584,0.531
Region 1,Rhode Island,Kent,1.275,0.708,0.51,0.24,0.605,0.443
Region 1,Rhode Island,Newport,4.139,0.669,0.207,0.232,0.551,0.643
Region 1,Rhode Island,Providence,1.642,0.639,0.51,0.535,0.551,0.326
Region 1,Rhode Island,Washington,4.322,0.595,0.248,0.391,0.637,0.614
Region 1,Vermont,Vermont,9.382,0.708,0.135,0.45,0.671,0.417
Region 1,Vermont,Addison,17.298,0.825,0.089,0.473,0.712,0.49
Region 1,Vermont,Bennington,7.519,0.763,0.154,0.435,0.613,0.469
Region 1,Vermont,Caledonia,9.771,0.686,0.115,0.401,0.815,0.396
Region 1,Vermont,Chittenden,5.495,0.754,0.261,0.661,0.604,0.387
Region 1,Vermont,Essex,12.333,0.78,0.074,0.327,0.468,0.56
Region 1,Vermont,Franklin,3.66,0.649,0.242,0.427,0.651,0.386
Region 1,Vermont,Grand Isle,12.838,0.677,0.063,0.334,0.714,0.365
Region 1,Vermont,Lamoille,10.944,0.619,0.08,0.389,0.665,0.438
Region 1,Vermont,Orange,6.894,0.751,0.14,0.4,0.689,0.351
Region 1,Vermont,Orleans,7.13,0.732,0.185,0.436,0.793,0.439
Region 1,Vermont,Rutland,11.762,0.595,0.09,0.52,0.662,0.441
Region 1,Vermont,Washington,9.925,0.681,0.11,0.469,0.72,0.381
Region 1,Vermont,Windham,10.089,0.753,0.104,0.467,0.638,0.364
Region 1,Vermont,Windsor,5.687,0.64,0.188,0.558,0.651,0.367
Region 2,,Region 2,3.839,0.658,0.308,0.469,0.52,0.385
,New Jersey,New Jersey,1.762,0.639,0.488,0.471,0.518,0.397
,New Jersey,Atlantic,1.964,0.633,0.477,0.52,0.431,0.507
,New Jersey,Bergen,0.928,0.61,0.582,0.464,0.586,0.202
,New Jersey,Burlington,2.458,0.675,0.538,0.567,0.547,0.558
,New Jersey,Camden,1.032,0.606,0.532,0.444,0.506,0.296
,New Jersey,Cape May,2.18,0.609,0.382,0.401,0.462,0.565
,New Jersey,Cumberland,2.657,0.598,0.313,0.437,0.444,0.549
,New Jersey,Essex,0.637,0.618,0.519,0.467,0.531,0.1
,New Jersey,Gloucester,1.137,0.571,0.553,0.453,0.489,0.379
,New Jersey,Hudson,0.659,0.618,0.525,0.402,0.465,0.233
,New Jersey,Hunterdon,2.868,0.644,0.386,0.512,0.598,0.48
,New Jersey,Mercer,1.269,0.599,0.496,0.448,0.492,0.362
,New Jersey,Middlesex,1.638,0.646,0.522,0.601,0.561,0.253
,New Jersey,Monmouth,1.618,0.627,0.728,0.615,0.534,0.485
,New Jersey,Morris,2.197,0.672,0.511,0.524,0.595,0.449
,New Jersey,Ocean,1.517,0.675,0.806,0.596,0.448,0.546
,New Jersey,Passaic,1.447,0.642,0.494,0.384,0.522,0.432
,New Jersey,Salem,3.527,0.708,0.209,0.338,0.459,0.503
,New Jersey,Somerset,1.457,0.679,0.585,0.486,0.573,0.339
,New Jersey,Sussex,2.147,0.652,0.406,0.405,0.563,0.468
,New Jersey,Union,0.878,0.652,0.337,0.388,0.561,0.129
,New Jersey,Warren,2.795,0.679,0.339,0.441,0.513,0.493
,New York,New York,4.542,0.665,0.248,0.469,0.521,0.381
,New York,Albany,2.354,0.693,0.455,0.542,0.639,0.343
,New York,Allegany,4.919,0.657,0.118,0.482,0.385,0.343
,New York,Bronx,0.121,0.668,0.529,0.297,0.409,0.203
,New York,Broome,2.075,0.689,0.381,0.505,0.497,0.335
,New York,Cattaraugus,5.133,0.657,0.186,0.56,0.421,0.46
,New York,Cayuga,5.792,0.637,0.139,0.464,0.571,0.368
,New York,Chautauqua,5.625,0.655,0.152,0.567,0.414,0.399
,New York,Chemung,1.694,0.596,0.204,0.339,0.472,0.304
,New York,Chenango,3.796,0.699,0.16,0.393,0.474,0.362
,New York,Clinton,7.373,0.699,0.154,0.587,0.534,0.412
,New York,Columbia,5.134,0.644,0.155,0.412,0.603,0.387
,New York,Cortland,3.287,0.633,0.146,0.331,0.527,0.341
,New York,Delaware,4.208,0.703,0.21,0.519,0.485,0.375
,New York,Dutchess,2.064,0.638,0.521,0.612,0.587,0.366
,New York,Erie,2.418,0.656,0.463,0.713,0.55,0.296
,New York,Essex,9.274,0.677,0.126,0.53,0.561,0.493
,New York,Franklin,8.313,0.721,0.138,0.44,0.531,0.56
,New York,Fulton,2.821,0.597,0.14,0.282,0.464,0.406
,New York,Genesee,3.131,0.617,0.205,0.377,0.544,0.393
,New York,Greene,3.807,0.659,0.188,0.465,0.495,0.356
,New York,Hamilton,16.706,0.723,0.062,0.354,0.556,0.565
,New York,Herkimer,7.873,0.643,0.112,0.503,0.422,0.49
,New York,Jefferson,8.873,0.71,0.147,0.672,0.485,0.446
,New York,Kings,0.889,0.664,0.366,0.31,0.502,0.276
,New York,Lewis,9.628,0.666,0.095,0.463,0.516,0.456
,New York,Livingston,8.946,0.717,0.116,0.48,0.539,0.449
,New York,Madison,4.735,0.585,0.144,0.42,0.538,0.403
,New York,Monroe,2.749,0.652,0.375,0.623,0.519,0.364
,New York,Montgomery,2.282,0.722,0.143,0.26,0.492,0.322
,New York,Nassau,2.935,0.598,0.351,0.564,0.703,0.342
,New York,New York,0.463,0.641,0.569,0.376,0.46,0.206
,New York,Niagara,2.781,0.68,0.279,0.432,0.481,0.425
,New York,Oneida,4.985,0.646,0.235,0.676,0.525,0.398
,New York,Onondaga,2.225,0.655,0.458,0.59,0.567,0.353
,New York,Ontario,6.11,0.641,0.159,0.528,0.555,0.413
,New York,Orange,2.31,0.623,0.52,0.704,0.591,0.362
,New York,Orleans,3.544,0.722,0.162,0.325,0.443,0.431
,New York,Oswego,4.458,0.684,0.166,0.565,0.389,0.33
,New York,Otsego,4.762,0.682,0.149,0.441,0.528,0.337
,New York,Putnam,2.32,0.657,0.411,0.403,0.633,0.463
,New York,Queens,1.885,0.546,0.336,0.467,0.578,0.318
,New York,Rensselaer,2.077,0.641,0.371,0.478,0.531,0.359
,New York,Richmond,1.146,0.562,0.508,0.314,0.579,0.431
,New York,Rockland,1.073,0.615,0.556,0.345,0.618,0.34
,New York,Saratoga,2.038,0.684,0.473,0.535,0.566,0.355
,New York,Schenectady,0.487,0.654,0.39,0.218,0.528,0.274
,New York,Schoharie,6.217,0.742,0.077,0.32,0.525,0.31
,New York,Schuyler,6.908,0.784,0.099,0.312,0.545,0.394
,New York,Seneca,4.455,0.67,0.134,0.328,0.492,0.427
,New York,St. Lawrence,10.729,0.635,0.117,0.691,0.453,0.508
,New York,Steuben,11.086,0.719,0.105,0.707,0.445,0.353
,New York,Suffolk,4.063,0.606,0.383,0.738,0.683,0.512
,New York,Sullivan,4.577,0.611,0.183,0.553,0.512,0.361
,New York,Tioga,1.693,0.765,0.266,0.343,0.45,0.321
,New York,Tompkins,6.092,0.7,0.111,0.457,0.459,0.343
,New York,Ulster,5.558,0.648,0.219,0.636,0.542,0.455
,New York,Warren,6.898,0.675,0.139,0.435,0.599,0.439
,New York,Washington,4.339,0.684,0.147,0.408,0.484,0.365
,New York,Wayne,4.729,0.701,0.132,0.403,0.466,0.365
,New York,Westchester,1.431,0.618,0.591,0.544,0.589,0.31
,New York,Wyoming,5.565,0.724,0.122,0.406,0.504,0.353
,New York,Yates,5.649,0.729,0.11,0.322,0.542,0.376
Region 3,,Region 3,2.934,0.571,0.272,0.382,0.512,0.378
,Delaware,Delaware,2.443,0.606,0.474,0.586,0.472,0.547
,Delaware,Kent,2.816,0.638,0.434,0.566,0.463,0.609
,Delaware,New Castle,1.647,0.647,0.609,0.546,0.52,0.437
,Delaware,Sussex,2.867,0.534,0.38,0.646,0.434,0.596
,District of Columbia,District of Columbia,0.501,0.61,0.676,0.402,0.506,0.2
,Maryland,Maryland,3.367,0.622,0.366,0.494,0.518,0.463
,Maryland,Allegany,2.268,0.604,0.277,0.421,0.441,0.429
,Maryland,Anne Arundel,1.542,0.642,0.675,0.539,0.553,0.446
,Maryland,Baltimore,1.796,0.571,0.494,0.567,0.585,0.363
,Maryland,Baltimore city,0.185,0.611,0.594,0.393,0.381,0.156
,Maryland,Calvert,2.931,0.664,0.317,0.44,0.541,0.472
,Maryland,Caroline,5.656,0.626,0.155,0.389,0.494,0.568
,Maryland,Carroll,3.84,0.707,0.296,0.501,0.62,0.429
,Maryland,Cecil,1.785,0.567,0.432,0.522,0.398,0.483
,Maryland,Charles,2.643,0.674,0.484,0.562,0.565,0.524
,Maryland,Dorchester,4.615,0.588,0.172,0.373,0.447,0.601
,Maryland,Frederick,2.235,0.662,0.529,0.632,0.603,0.373
,Maryland,Garrett,6.42,0.585,0.14,0.583,0.497,0.409
,Maryland,Harford,2.158,0.626,0.465,0.513,0.531,0.485
,Maryland,Howard,1.295,0.628,0.565,0.399,0.627,0.355
,Maryland,Kent,4.053,0.522,0.19,0.428,0.492,0.555
,Maryland,Montgomery,1.518,0.651,0.59,0.53,0.569,0.344
,Maryland,Prince George's,1.496,0.653,0.704,0.565,0.61,0.368
,Maryland,Queen Anne's,6.294,0.587,0.173,0.531,0.581,0.529
,Maryland,Somerset,7.335,0.676,0.124,0.407,0.39,0.609
,Maryland,St. Mary's,3.903,0.703,0.303,0.521,0.483,0.547
,Maryland,Talbot,4.838,0.594,0.197,0.422,0.57,0.555
,Maryland,Washington,1.96,0.627,0.47,0.549,0.497,0.419
,Maryland,Wicomico,3.234,0.583,0.281,0.498,0.506,0.505
,Maryland,Worcester,6.816,0.588,0.16,0.559,0.453,0.598
,Pennsylvania,Pennsylvania,4.369,0.667,0.257,0.481,0.503,0.383
,Pennsylvania,Adams,3.414,0.662,0.262,0.53,0.508,0.382
,Pennsylvania,Allegheny,1.086,0.593,0.705,0.706,0.529,0.151
,Pennsylvania,Armstrong,3.389,0.659,0.188,0.487,0.48,0.295
,Pennsylvania,Beaver,1.46,0.629,0.36,0.43,0.497,0.29
,Pennsylvania,Bedford,8.398,0.702,0.099,0.438,0.511,0.41
,Pennsylvania,Berks,2.96,0.646,0.367,0.666,0.513,0.365
,Pennsylvania,Blair,4.192,0.652,0.231,0.509,0.537,0.437
,Pennsylvania,Bradford,6.884,0.768,0.129,0.512,0.473,0.349
,Pennsylvania,Bucks,2.432,0.648,0.521,0.724,0.634,0.318
,Pennsylvania,Butler,1.886,0.645,0.413,0.476,0.587,0.32
,Pennsylvania,Cambria,6.761,0.677,0.165,0.58,0.587,0.388
,Pennsylvania,Cameron,7.32,0.848,0.107,0.214,0.467,0.584
,Pennsylvania,Carbon,4.551,0.677,0.164,0.401,0.515,0.416
,Pennsylvania,Centre,4.872,0.588,0.201,0.612,0.497,0.43
,Pennsylvania,Chester,2.222,0.637,0.48,0.601,0.544,0.409
,Pennsylvania,Clarion,7.152,0.758,0.126,0.412,0.553,0.409
,Pennsylvania,Clearfield,6.458,0.673,0.142,0.542,0.495,0.383
,Pennsylvania,Clinton,8.577,0.749,0.132,0.478,0.491,0.518
,Pennsylvania,Columbia,3.198,0.651,0.193,0.398,0.491,0.375
,Pennsylvania,Crawford,4.921,0.695,0.173,0.461,0.462,0.443
,Pennsylvania,Cumberland,1.718,0.619,0.508,0.533,0.549,0.37
,Pennsylvania,Dauphin,1.583,0.603,0.534,0.524,0.558,0.37
,Pennsylvania,Delaware,0.804,0.566,0.485,0.388,0.526,0.252
,Pennsylvania,Elk,7.984,0.603,0.11,0.354,0.562,0.572
,Pennsylvania,Erie,2.922,0.614,0.303,0.596,0.504,0.351
,Pennsylvania,Fayette,3.097,0.607,0.226,0.532,0.445,0.352
,Pennsylvania,Forest,8.283,0.914,0.097,0.263,0.369,0.59
,Pennsylvania,Franklin,2.85,0.576,0.303,0.575,0.505,0.396
,Pennsylvania,Fulton,5.826,0.688,0.09,0.357,0.427,0.394
,Pennsylvania,Greene,2.41,0.619,0.144,0.409,0.386,0.29
,Pennsylvania,Huntingdon,10.034,0.683,0.102,0.478,0.525,0.486
,Pennsylvania,Indiana,3.693,0.628,0.18,0.565,0.386,0.323
,Pennsylvania,Jefferson,5.413,0.743,0.156,0.427,0.512,0.403
,Pennsylvania,Juniata,4.518,0.612,0.144,0.365,0.525,0.431
,Pennsylvania,Lackawanna,1.8,0.668,0.418,0.439,0.546,0.359
,Pennsylvania,Lancaster,3.078,0.579,0.389,0.741,0.578,0.391
,Pennsylvania,Lawrence,1.916,0.624,0.225,0.283,0.553,0.346
,Pennsylvania,Lebanon,1.571,0.598,0.402,0.38,0.55,0.391
,Pennsylvania,Lehigh,1.619,0.645,0.505,0.556,0.513,0.316
,Pennsylvania,Luzerne,2.696,0.647,0.405,0.65,0.522,0.378
,Pennsylvania,Lycoming,7.597,0.726,0.167,0.599,0.524,0.453
,Pennsylvania,McKean,2.861,0.719,0.213,0.327,0.439,0.453
,Pennsylvania,Mercer,3.64,0.739,0.238,0.448,0.521,0.389
,Pennsylvania,Mifflin,4.004,0.624,0.161,0.332,0.512,0.466
,Pennsylvania,Monroe,2.512,0.688,0.307,0.492,0.422,0.398
,Pennsylvania,Montgomery,1.759,0.651,0.521,0.631,0.604,0.22
,Pennsylvania,Montour,2.745,0.628,0.157,0.324,0.481,0.358
,Pennsylvania,Northampton,1.531,0.65,0.5,0.522,0.509,0.32
,Pennsylvania,Northumberland,3.055,0.64,0.189,0.418,0.475,0.348
,Pennsylvania,Perry,8.674,0.632,0.096,0.42,0.595,0.418
,Pennsylvania,Philadelphia,0.395,0.56,0.507,0.53,0.403,0.063
,Pennsylvania,Pike,3.238,0.672,0.189,0.402,0.355,0.464
,Pennsylvania,Potter,9.589,0.784,0.091,0.427,0.454,0.44
,Pennsylvania,Schuylkill,4.131,0.652,0.244,0.617,0.508,0.365
,Pennsylvania,Snyder,4.609,0.7,0.15,0.414,0.476,0.385
,Pennsylvania,Somerset,8.679,0.677,0.124,0.638,0.493,0.374
,Pennsylvania,Sullivan,6.896,0.806,0.102,0.349,0.47,0.413
,Pennsylvania,Susquehanna,5.903,0.64,0.116,0.458,0.461,0.384
,Pennsylvania,Tioga,10.408,0.713,0.087,0.558,0.427,0.383
,Pennsylvania,Union,4.643,0.682,0.162,0.374,0.516,0.444
,Pennsylvania,Venango,4.995,0.681,0.155,0.381,0.486,0.473
,Pennsylvania,Warren,9.187,0.74,0.084,0.361,0.444,0.49
,Pennsylvania,Washington,2.376,0.67,0.341,0.544,0.548,0.277
,Pennsylvania,Wayne,6.147,0.658,0.152,0.486,0.588,0.393
,Pennsylvania,Westmoreland,1.32,0.577,0.546,0.506,0.588,0.303
,Pennsylvania,Wyoming,4.022,0.765,0.206,0.426,0.501,0.391
,Pennsylvania,York,1.879,0.596,0.507,0.666,0.502,0.34
,Virginia,Virginia,2.484,0.52,0.297,0.331,0.548,0.378
,Virginia,Accomack,6.907,0.562,0.162,0.504,0.534,0.65
,Virginia,Albemarle,3.807,0.651,0.263,0.563,0.54,0.398
,Virginia,Alexandria city,-0.06,0.626,0.607,0.255,0.495,0.117
,Virginia,Alleghany,3.302,0.492,0.198,0.349,0.657,0.451
,Virginia,Amelia,6.454,0.57,0.111,0.331,0.651,0.445
,Virginia,Amherst,2.663,0.486,0.256,0.447,0.602,0.418
,Virginia,Appomattox,5.256,0.572,0.132,0.343,0.628,0.433
,Virginia,Arlington,-0.074,0.655,0.538,0.257,0.491,0.118
,Virginia,Augusta,4.228,0.478,0.208,0.558,0.574,0.498
,Virginia,Bath,3.679,0.386,0.181,0.357,0.726,0.55
,Virginia,Bedford,1.132,0.169,0.234,0.541,0.601,0.384
,Virginia,Bland,2.727,0.246,0.082,0.291,0.485,0.48
,Virginia,Botetourt,1.764,0.239,0.224,0.48,0.756,0.361
,Virginia,Bristol city,-0.064,0.16,0.546,0.119,0.546,0.159
,Virginia,Brunswick,4.723,0.512,0.115,0.361,0.532,0.427
,Virginia,Buchanan,1.789,0.54,0.15,0.402,0.394,0.265
,Virginia,Buckingham,2.982,0.558,0.17,0.36,0.502,0.391
,Virginia,Buena Vista city,-0.362,0.475,0.395,0.095,0.424,0.25
,Virginia,Campbell,2.861,0.44,0.203,0.451,0.652,0.34
,Virginia,Caroline,6.744,0.611,0.131,0.474,0.503,0.487
,Virginia,Carroll,2.626,0.45,0.14,0.396,0.504,0.312
,Virginia,Charles City,6.855,0.583,0.101,0.329,0.524,0.52
,Virginia,Charlotte,6.88,0.565,0.079,0.341,0.593,0.362
,Virginia,Charlottesville city,-0.497,0.583,0.515,0.164,0.539,0.026
,Virginia,Chesapeake city,0.962,0.524,0.714,0.398,0.544,0.481
,Virginia,Chesterfield,1.438,0.6,0.626,0.51,0.581,0.407
,Virginia,Clarke,6.612,0.647,0.106,0.32,0.646,0.389
,Virginia,Colonial Heights city,-0.001,0.65,0.655,0.158,0.593,0.169
,Virginia,Covington city,-0.269,0.272,0.309,0.01,0.59,0.207
,Virginia,Craig,3.813,0.598,0.159,0.258,0.555,0.502
,Virginia,Culpeper,3.173,0.718,0.282,0.372,0.656,0.393
,Virginia,Cumberland,7.993,0.715,0.096,0.323,0.538,0.471
,Virginia,Danville city,-0.554,0.417,0.458,0.04,0.416,0.192
,Virginia,Dickenson,2.287,0.323,0.129,0.369,0.434,0.437
,Virginia,Dinwiddie,4.137,0.486,0.149,0.392,0.531,0.479
,Virginia,Emporia city,-0.055,0.576,0.528,0.146,0.463,0.265
,Virginia,Essex,3.365,0.481,0.216,0.343,0.684,0.508
,Virginia,Fairfax,1.311,0.669,0.569,0.474,0.557,0.308
,Virginia,Fairfax city,0.691,0.693,0.485,0.175,0.842,0.148
,Virginia,Falls Church city,1.224,0.842,0.32,0.152,0.766,0.225
,Virginia,Fauquier,4.935,0.646,0.243,0.546,0.678,0.436
,Virginia,Floyd,2.192,0.414,0.128,0.336,0.552,0.285
,Virginia,Fluvanna,4.426,0.74,0.158,0.397,0.511,0.359
,Virginia,Franklin,1.926,0.401,0.194,0.422,0.514,0.325
,Virginia,Franklin city,-0.031,0.656,0.331,0.146,0.399,0.33
,Virginia,Frederick,1.359,0.673,0.487,0.451,0.522,0.308
,Virginia,Fredericksburg city,-0.081,0.755,0.476,0.144,0.578,0.176
,Virginia,Galax city,-0.796,0.479,0.272,0.114,0.391,0.193
,Virginia,Giles,4.168,0.38,0.113,0.342,0.576,0.485
,Virginia,Gloucester,2.925,0.473,0.273,0.347,0.678,0.582
,Virginia,Goochland,2.854,0.603,0.215,0.422,0.525,0.35
,Virginia,Grayson,1.8,0.288,0.124,0.363,0.463,0.365
,Virginia,Greene,3.695,0.643,0.155,0.34,0.536,0.378
,Virginia,Greensville,2.068,0.558,0.122,0.333,0.251,0.436
,Virginia,Halifax,2.942,0.478,0.154,0.402,0.504,0.361
,Virginia,Hampton city,1.103,0.572,0.576,0.285,0.483,0.57
,Virginia,Hanover,2.16,0.567,0.399,0.474,0.677,0.376
,Virginia,Harrisonburg city,-0.117,0.716,0.391,0.266,0.448,0.142
,Virginia,Henrico,0.839,0.588,0.656,0.374,0.588,0.319
,Virginia,Henry,0.72,0.397,0.37,0.369,0.452,0.325
,Virginia,Highland,3.465,0.297,0.113,0.266,0.695,0.507
,Virginia,Hopewell city,-0.111,0.442,0.561,0.136,0.462,0.24
,Virginia,Isle of Wight,2.488,0.625,0.348,0.39,0.585,0.487
,Virginia,James City,1.604,0.653,0.519,0.327,0.539,0.546
,Virginia,King and Queen,7.095,0.586,0.107,0.306,0.569,0.551
,Virginia,King George,4.097,0.861,0.252,0.418,0.464,0.478
,Virginia,King William,12.156,0.771,0.105,0.397,0.648,0.541
,Virginia,Lancaster,3.122,0.545,0.301,0.322,0.711,0.597
,Virginia,Lee,1.323,0.293,0.141,0.37,0.418,0.338
,Virginia,Lexington city,-0.524,0.43,0.24,0.067,0.681,0.078
,Virginia,Loudoun,1.462,0.69,0.704,0.517,0.618,0.365
,Virginia,Louisa,4.414,0.599,0.156,0.476,0.501,0.366
,Virginia,Lunenburg,3.797,0.517,0.113,0.282,0.533,0.42
,Virginia,Lynchburg city,-0.214,0.521,0.507,0.227,0.436,0.134
,Virginia,Madison,4.244,0.432,0.136,0.35,0.657,0.451
,Virginia,Manassas city,0.427,0.597,0.435,0.236,0.712,0.115
,Virginia,Manassas Park city,-0.299,0.603,0.395,0.147,0.584,0.108
,Virginia,Martinsville city,-0.262,0.275,0.46,0.055,0.519,0.16
,Virginia,Mathews,4.484,0.55,0.232,0.264,0.702,0.735
,Virginia,Mecklenburg,6.109,0.554,0.116,0.41,0.597,0.411
,Virginia,Middlesex,4.145,0.64,0.253,0.317,0.632,0.631
,Virginia,Montgomery,1.268,0.334,0.288,0.443,0.487,0.39
,Virginia,Nelson,2.723,0.414,0.15,0.417,0.485,0.375
,Virginia,New Kent,5.284,0.55,0.164,0.422,0.622,0.499
,Virginia,Newport News city,1.1,0.558,0.558,0.311,0.461,0.556
,Virginia,Norfolk city,0.597,0.536,0.523,0.294,0.433,0.386
,Virginia,Northampton,4.29,0.545,0.209,0.335,0.561,0.673
,Virginia,Northumberland,5.351,0.754,0.214,0.355,0.612,0.557
,Virginia,Norton city,-0.066,0.117,0.551,0.026,0.526,0.24
,Virginia,Nottoway,2.985,0.426,0.128,0.298,0.53,0.431
,Virginia,Orange,4.099,0.651,0.158,0.393,0.502,0.392
,Virginia,Page,4.828,0.413,0.125,0.399,0.589,0.505
,Virginia,Patrick,2.045,0.415,0.156,0.369,0.522,0.309
,Virginia,Petersburg city,0.024,0.599,0.517,0.177,0.417,0.296
,Virginia,Pittsylvania,3.622,0.474,0.198,0.54,0.53,0.421
,Virginia,Poquoson city,2.187,0.59,0.253,0.165,0.527,0.596
,Virginia,Portsmouth city,0.21,0.544,0.668,0.238,0.487,0.271
,Virginia,Powhatan,8.299,0.8,0.14,0.39,0.65,0.461
,Virginia,Prince Edward,5.321,0.562,0.109,0.363,0.562,0.391
,Virginia,Prince George,2.58,0.551,0.319,0.445,0.482,0.554
,Virginia,Prince William,1.351,0.634,0.6,0.472,0.597,0.345
,Virginia,Pulaski,2.129,0.408,0.189,0.369,0.518,0.401
,Virginia,Radford city,-0.484,0.478,0.331,0.133,0.334,0.266
,Virginia,Rappahannock,3.657,0.438,0.132,0.346,0.561,0.439
,Virginia,Richmond,2.697,0.539,0.238,0.341,0.55,0.489
,Virginia,Richmond city,-0.194,0.591,0.551,0.245,0.463,0.105
,Virginia,Roanoke,0.823,0.41,0.468,0.376,0.6,0.308
,Virginia,Roanoke city,-0.119,0.413,0.46,0.21,0.536,0.104
,Virginia,Rockbridge,2.397,0.269,0.158,0.446,0.572,0.444
,Virginia,Rockingham,4.678,0.546,0.216,0.616,0.555,0.454
,Virginia,Russell,0.939,0.141,0.124,0.398,0.438,0.368
,Virginia,Salem city,-0.143,0.423,0.451,0.146,0.598,0.116
,Virginia,Scott,0.986,0.212,0.139,0.381,0.4,0.346
,Virginia,Shenandoah,4.175,0.6,0.196,0.456,0.599,0.394
,Virginia,Smyth,1.829,0.236,0.159,0.387,0.544,0.461
,Virginia,Southampton,7.948,0.609,0.11,0.432,0.568,0.474
,Virginia,Spotsylvania,1.318,0.679,0.517,0.382,0.539,0.377
,Virginia,Stafford,1.503,0.674,0.554,0.393,0.564,0.439
,Virginia,Staunton city,0.313,0.648,0.356,0.156,0.569,0.26
